feature,contribution,abs_contribution
purpose,0.5036006478422703,0.5036006478422703
home_ownership,0.18485192212729792,0.18485192212729792
sub_grade,-0.0942142673834108,0.0942142673834108
issue_year,-0.07417202004280758,0.07417202004280758
earliest_cr_line_month,0.053604900845130414,0.053604900845130414
delinq_amnt,0.04045414600950553,0.04045414600950553
emp_length,0.03919093626664757,0.03919093626664757
tax_liens,-0.03578693889366167,0.03578693889366167
term_in_months,-0.03186622105078758,0.03186622105078758
num_tl_30dpd,-0.029583733344457835,0.029583733344457835
