label_corr,label_abs_corr,Feature,missing_percent,Features to stay
0.02682093959234543,0.02682093959234543,loan_amnt,0.0,loan_amnt
0.09111423202576499,0.09111423202576499,term,0.0,term
0.22500452182134473,0.22500452182134473,sub_grade,0.0,sub_grade
0.025226709051093508,0.025226709051093508,emp_title,6.959231247167863,emp_title
0.022127878150561765,0.022127878150561765,emp_length,6.086582796492588,emp_length
0.05049111917017964,0.05049111917017964,home_ownership,0.0,home_ownership
-0.03536926119704636,0.03536926119704636,annual_inc,0.0,annual_inc
0.09683841629149338,0.09683841629149338,verification_status,0.0,verification_status
-0.017819021013207523,0.017819021013207523,issue_d,0.0,issue_d
-0.01963720554729567,0.01963720554729567,desc,94.16054302278323,desc
0.013710899449129602,0.013710899449129602,purpose,0.0,purpose
0.02770941079607677,0.02770941079607677,title,1.046430690317246,title
0.0006308825935882336,0.0006308825935882336,zip_code,0.0,zip_code
-0.003552164236663896,0.003552164236663896,addr_state,0.0,addr_state
0.0782879675756435,0.0782879675756435,dti,0.0,dti
0.01912274810175978,0.01912274810175978,delinq_2yrs,0.0009343131163546839,delinq_2yrs
0.0010923947466905046,0.0010923947466905046,earliest_cr_line,0.0009343131163546839,earliest_cr_line
0.07884178945733766,0.07884178945733766,inq_last_6mths,0.0009343131163546839,inq_last_6mths
-0.012972182863817254,0.012972182863817254,mths_since_last_delinq,50.893436917514165,mths_since_last_delinq
-0.020270336049018945,0.020270336049018945,mths_since_last_record,84.01390257917136,mths_since_last_record
0.01776663231394419,0.01776663231394419,open_acc,0.0009343131163546839,open_acc
0.02876278231859769,0.02876278231859769,pub_rec,0.0009343131163546839,pub_rec
-0.01788359269829698,0.01788359269829698,revol_bal,0.0,revol_bal
0.0695041062279028,0.0695041062279028,revol_util,0.08035092800650283,revol_util
0.01576646453997829,0.01576646453997829,total_acc,0.0009343131163546839,total_acc
-0.06853737524962515,0.06853737524962515,initial_list_status,0.0,initial_list_status
0.010052319750769608,0.010052319750769608,collections_12_mths_ex_med,0.006073035256305446,collections_12_mths_ex_med
-0.011389737904839171,0.011389737904839171,mths_since_last_major_derog,73.97704392673117,mths_since_last_major_derog
0.0014739431011549038,0.0014739431011549038,tot_coll_amt,3.3252203811063206,tot_coll_amt
0.06072361227471765,0.06072361227471765,open_acc_6m,40.420254039736335,open_acc_6m
0.008867686360924087,0.008867686360924087,open_act_il,40.420254039736335,open_act_il
0.06051092067206702,0.06051092067206702,open_il_12m,40.420254039736335,open_il_12m
0.06065785469677383,0.06065785469677383,open_il_24m,40.420254039736335,open_il_24m
-0.03242085839165458,0.03242085839165458,mths_since_rcnt_il,42.30382928230738,mths_since_rcnt_il
0.05888586629764154,0.05888586629764154,il_util,48.95286857484549,il_util
0.05266258614741897,0.05266258614741897,open_rv_12m,40.420254039736335,open_rv_12m
0.06912450757964811,0.06912450757964811,open_rv_24m,40.420254039736335,open_rv_24m
-0.03227602521276016,0.03227602521276016,max_bal_bc,40.420254039736335,max_bal_bc
0.07383862685643393,0.07383862685643393,all_util,40.42679423155082,all_util
-0.057416341220561884,0.057416341220561884,total_rev_hi_lim,3.3252203811063206,total_rev_hi_lim
0.0368309814014974,0.0368309814014974,inq_fi,40.420254039736335,inq_fi
0.009299731041818318,0.009299731041818318,total_cu_tl,40.420254039736335,total_cu_tl
0.0637314488297478,0.0637314488297478,inq_last_12m,40.420254039736335,inq_last_12m
0.08867183834751817,0.08867183834751817,acc_open_past_24mths,2.3605420884701087,acc_open_past_24mths
-0.0562108691255464,0.0562108691255464,avg_cur_bal,3.32708900733903,avg_cur_bal
-0.08076668691943055,0.08076668691943055,bc_open_to_buy,3.403702682880114,bc_open_to_buy
0.0759460456775071,0.0759460456775071,bc_util,3.464900192001345,bc_util
0.0021101943384776007,0.0021101943384776007,chargeoff_within_12_mths,0.006073035256305446,chargeoff_within_12_mths
0.005947855837318468,0.005947855837318468,delinq_amnt,0.0009343131163546839,delinq_amnt
-0.021217795594907888,0.021217795594907888,mo_sin_old_il_acct,6.365942418282638,mo_sin_old_il_acct
-0.0355852140960437,0.0355852140960437,mo_sin_old_rev_tl_op,3.3252203811063206,mo_sin_old_rev_tl_op
-0.051203064225407595,0.051203064225407595,mo_sin_rcnt_rev_tl_op,3.3252203811063206,mo_sin_rcnt_rev_tl_op
-0.053452195761061076,0.053452195761061076,mo_sin_rcnt_tl,3.3252203811063206,mo_sin_rcnt_tl
-0.03244640355720174,0.03244640355720174,mort_acc,2.3605420884701087,mort_acc
-0.043584474650737046,0.043584474650737046,mths_since_recent_bc,3.336899295060754,mths_since_recent_bc
-0.003137939343701434,0.003137939343701434,mths_since_recent_bc_dlq,76.73980781179198,mths_since_recent_bc_dlq
-0.05320449066537542,0.05320449066537542,mths_since_recent_inq,13.0799164724074,mths_since_recent_inq
-0.006683612077262269,0.006683612077262269,mths_since_recent_revol_delinq,66.9785715286764,mths_since_recent_revol_delinq
0.008479117803978793,0.008479117803978793,num_accts_ever_120_pd,3.3252203811063206,num_accts_ever_120_pd
0.023449703362199502,0.023449703362199502,num_actv_bc_tl,3.3252203811063206,num_actv_bc_tl
0.05073392113298021,0.05073392113298021,num_actv_rev_tl,3.3252203811063206,num_actv_rev_tl
0.0042639641381768565,0.0042639641381768565,num_bc_sats,2.768836920317106,num_bc_sats
0.015581876085390736,0.015581876085390736,num_bc_tl,3.3252203811063206,num_bc_tl
0.01028170161323678,0.01028170161323678,num_il_tl,3.3252203811063206,num_il_tl
0.023613697070117696,0.023613697070117696,num_op_rev_tl,3.3252203811063206,num_op_rev_tl
0.02221329210148946,0.02221329210148946,num_rev_accts,3.3252203811063206,num_rev_accts
0.0022468872711697264,0.0022468872711697264,num_tl_120dpd_2m,7.126940451553529,num_tl_120dpd_2m
0.0047684994383403794,0.0047684994383403794,num_tl_30dpd,3.3252203811063206,num_tl_30dpd
0.012197969067421339,0.012197969067421339,num_tl_90g_dpd_24m,3.3252203811063206,num_tl_90g_dpd_24m
0.07721411715843976,0.07721411715843976,num_tl_op_past_12m,3.3252203811063206,num_tl_op_past_12m
-0.0037269775784282647,0.0037269775784282647,pct_tl_nvr_dlq,3.3308262598044482,pct_tl_nvr_dlq
0.07830303392951792,0.07830303392951792,percent_bc_gt_75,3.4307977632543993,percent_bc_gt_75
0.021686175332832822,0.021686175332832822,pub_rec_bankruptcies,0.06867201405206927,pub_rec_bankruptcies
0.013644503499620549,0.013644503499620549,tax_liens,0.0037372524654187356,tax_liens
-0.061955101049037724,0.061955101049037724,tot_hi_cred_lim,3.3252203811063206,tot_hi_cred_lim
-0.010337636565541718,0.010337636565541718,total_bal_ex_mort,2.3605420884701087,total_bal_ex_mort
-0.0727331430169503,0.0727331430169503,total_bc_limit,2.3605420884701087,total_bc_limit
-0.012103906507566485,0.012103906507566485,total_il_high_credit_limit,3.3252203811063206,total_il_high_credit_limit
-0.14600503649089677,0.14600503649089677,year_issued,0.0,year_issued
