loan_amnt,term,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,collections_12_mths_ex_med,policy_code,tot_coll_amt,total_rev_hi_lim,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,year_issued,default_status
6500, 36 months,E1,City Carrier,1 year,RENT,55000.0,Source Verified,Oct-2018,other,Other,549xx,WI,6.35,1.0,Oct-2008,3.0,5.0,0.0,2561,22.1,10.0,f,0.0,1,0.0,11600.0,2.0,1495.0,6739.0,27.5,0.0,0.0,119.0,71.0,24.0,2.0,0.0,24.0,0.0,0.0,2.0,2.0,2.0,3.0,4.0,4.0,6.0,0.0,0.0,0.0,1.0,90.0,0.0,0.0,0.0,16600.0,7475.0,9300.0,5000.0,2018,1
23000, 36 months,C3,Tax Consultant,10+ years,MORTGAGE,75000.0,Source Verified,Oct-2018,debt_consolidation,Debt consolidation,352xx,AL,20.95,1.0,Aug-1985,2.0,12.0,0.0,22465,43.6,28.0,w,0.0,1,0.0,51500.0,11.0,21638.0,26321.0,44.1,0.0,0.0,12.0,397.0,4.0,4.0,6.0,5.0,4.0,0.0,4.0,5.0,7.0,14.0,3.0,9.0,19.0,0.0,0.0,0.0,7.0,96.4,14.3,0.0,0.0,296500.0,40614.0,47100.0,21000.0,2018,1
22800, 60 months,D5,contractor,10+ years,OWN,100000.0,Source Verified,Sep-2018,debt_consolidation,Debt consolidation,088xx,NJ,30.74,0.0,Mar-1992,1.0,9.0,0.0,22674,94.1,18.0,w,0.0,1,0.0,24100.0,2.0,12294.0,737.0,96.8,0.0,0.0,169.0,192.0,46.0,2.0,0.0,137.0,2.0,0.0,4.0,5.0,4.0,5.0,10.0,5.0,7.0,0.0,0.0,0.0,2.0,100.0,100.0,0.0,0.0,130056.0,110649.0,22700.0,89606.0,2018,1
22000, 36 months,C2,Engineer,1 year,RENT,100000.0,Source Verified,Sep-2018,small_business,Business,920xx,CA,7.18,1.0,Dec-1999,0.0,5.0,0.0,14099,78.3,15.0,w,0.0,1,0.0,18000.0,2.0,26018.0,3901.0,78.3,0.0,0.0,128.0,225.0,14.0,14.0,4.0,14.0,13.0,0.0,1.0,1.0,1.0,3.0,7.0,1.0,4.0,0.0,0.0,0.0,0.0,92.3,100.0,0.0,0.0,134264.0,130091.0,18000.0,116264.0,2018,1
8000, 36 months,B3,Direct Support Professional,1 year,OWN,50000.0,Source Verified,Sep-2018,debt_consolidation,Debt consolidation,087xx,NJ,11.47,0.0,Aug-2001,0.0,13.0,0.0,12835,37.3,28.0,w,0.0,1,0.0,34400.0,4.0,2264.0,13839.0,43.3,0.0,0.0,205.0,149.0,12.0,12.0,0.0,12.0,,0.0,4.0,7.0,5.0,11.0,3.0,12.0,25.0,0.0,0.0,0.0,1.0,92.9,20.0,0.0,0.0,45211.0,27164.0,24400.0,10811.0,2018,1
9000, 36 months,D4,,,MORTGAGE,49140.0,Verified,Sep-2018,home_improvement,Home improvement,600xx,IL,15.51,0.0,Dec-2003,1.0,7.0,0.0,19756,74.6,11.0,w,0.0,1,0.0,26500.0,1.0,27362.0,6744.0,74.6,0.0,0.0,94.0,50.0,1.0,1.0,4.0,1.0,0.0,0.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,0.0,0.0,0.0,1.0,100.0,75.0,0.0,0.0,258465.0,22310.0,26500.0,6965.0,2018,1
1200, 36 months,D1,Customer Service Representative ,2 years,RENT,43628.0,Not Verified,Sep-2018,major_purchase,Major purchase,927xx,CA,27.81,0.0,Aug-2003,0.0,5.0,0.0,7021,93.6,7.0,f,0.0,1,0.0,7500.0,3.0,6601.0,,,0.0,0.0,29.0,181.0,12.0,9.0,0.0,,9.0,0.0,0.0,2.0,0.0,2.0,2.0,3.0,5.0,0.0,0.0,0.0,2.0,100.0,,0.0,0.0,36100.0,26405.0,0.0,28600.0,2018,1
20000, 36 months,A2,,,OWN,45000.0,Not Verified,Sep-2018,debt_consolidation,Debt consolidation,241xx,VA,20.29,0.0,Aug-1990,0.0,19.0,0.0,23377,21.3,36.0,w,0.0,1,0.0,109900.0,5.0,1793.0,66743.0,12.5,0.0,0.0,34.0,337.0,11.0,10.0,1.0,11.0,10.0,0.0,3.0,6.0,9.0,20.0,2.0,17.0,33.0,0.0,0.0,0.0,3.0,100.0,0.0,0.0,0.0,124080.0,34070.0,76300.0,14180.0,2018,1
3000, 36 months,B2,Customer service rep,10+ years,RENT,53000.0,Source Verified,Sep-2018,debt_consolidation,Debt consolidation,906xx,CA,1.05,0.0,Mar-2006,0.0,3.0,0.0,2591,7.2,6.0,f,0.0,1,1946.0,36000.0,0.0,911.0,33409.0,7.2,0.0,0.0,,149.0,45.0,45.0,0.0,45.0,,1.0,1.0,1.0,2.0,4.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,83.3,0.0,0.0,0.0,41444.0,2732.0,36000.0,0.0,2018,1
30000, 36 months,D2,Program Management Professional,8 years,RENT,67362.0,Verified,Sep-2018,debt_consolidation,Debt consolidation,606xx,IL,24.03,0.0,Nov-2005,0.0,10.0,0.0,12677,59.2,49.0,w,0.0,1,220.0,21400.0,3.0,10932.0,5682.0,53.8,0.0,0.0,154.0,150.0,10.0,10.0,0.0,15.0,2.0,0.0,2.0,4.0,5.0,10.0,34.0,7.0,15.0,0.0,0.0,0.0,1.0,100.0,25.0,0.0,0.0,115595.0,98391.0,12300.0,94195.0,2018,1
15000, 36 months,B3,accoutant,8 years,RENT,90000.0,Not Verified,Sep-2018,major_purchase,Major purchase,088xx,NJ,1.76,0.0,Sep-2014,0.0,8.0,0.0,8499,12.0,9.0,w,0.0,1,0.0,71100.0,2.0,2765.0,57801.0,12.8,0.0,0.0,5.0,48.0,12.0,5.0,0.0,12.0,12.0,0.0,4.0,4.0,6.0,6.0,1.0,7.0,8.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,91100.0,22117.0,66300.0,20000.0,2018,1
20000, 36 months,C3,Production Team Leader,10+ years,OWN,80000.0,Verified,Sep-2018,debt_consolidation,Debt consolidation,291xx,SC,35.31,0.0,Aug-1991,1.0,13.0,0.0,20635,72.0,32.0,w,0.0,1,0.0,28600.0,3.0,6704.0,2475.0,93.0,0.0,0.0,257.0,325.0,4.0,4.0,0.0,4.0,4.0,0.0,4.0,10.0,6.0,6.0,16.0,10.0,16.0,,0.0,0.0,1.0,91.0,100.0,0.0,0.0,133801.0,87158.0,9900.0,105201.0,2018,1
5325, 36 months,G1,mail carrier,1 year,OWN,80000.0,Source Verified,Sep-2018,major_purchase,Major purchase,216xx,MD,2.4,0.0,Aug-2015,3.0,6.0,0.0,7250,14.9,7.0,w,0.0,1,0.0,48800.0,6.0,1208.0,23251.0,2.3,0.0,0.0,,37.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,2.0,5.0,5.0,0.0,6.0,7.0,0.0,0.0,0.0,6.0,100.0,0.0,0.0,0.0,48800.0,7250.0,23800.0,0.0,2018,1
12000, 60 months,E5,Courrier,2 years,RENT,42000.0,Verified,Sep-2018,debt_consolidation,Debt consolidation,782xx,TX,32.94,0.0,Jan-2010,1.0,11.0,0.0,11561,39.2,19.0,w,0.0,1,1225.0,29500.0,4.0,4105.0,10039.0,53.5,0.0,0.0,97.0,104.0,6.0,6.0,0.0,6.0,6.0,0.0,2.0,2.0,4.0,4.0,5.0,9.0,14.0,0.0,0.0,0.0,2.0,100.0,50.0,0.0,0.0,64496.0,41049.0,21600.0,34996.0,2018,1
12000, 36 months,B3,,,RENT,36000.0,Not Verified,Sep-2018,debt_consolidation,Debt consolidation,293xx,SC,29.63,0.0,Jan-2000,0.0,9.0,0.0,11462,59.7,22.0,w,0.0,1,626.0,19200.0,3.0,3411.0,5285.0,67.4,0.0,0.0,144.0,224.0,12.0,12.0,1.0,26.0,21.0,0.0,5.0,6.0,5.0,12.0,6.0,7.0,15.0,0.0,0.0,0.0,1.0,100.0,20.0,0.0,0.0,55476.0,30700.0,16200.0,36276.0,2018,1
10800, 60 months,E4,Truck Driver ,1 year,OWN,60000.0,Source Verified,Sep-2018,debt_consolidation,Debt consolidation,982xx,WA,31.48,0.0,Nov-1999,2.0,16.0,0.0,6817,21.9,35.0,f,0.0,1,0.0,31100.0,7.0,4566.0,11642.0,9.8,0.0,0.0,74.0,226.0,12.0,1.0,0.0,41.0,0.0,0.0,1.0,3.0,4.0,12.0,12.0,11.0,23.0,0.0,0.0,0.0,6.0,100.0,0.0,0.0,0.0,100114.0,68496.0,12900.0,69014.0,2018,1
