Feature 1,Feature 2,Correlation,Abs_Correlation,label_abs_corr_feat1,label_abs_corr_feat2, Feature 1 Missing , Feature 2 Missing 
open_act_il,num_il_tl,64.53%,64.53%,0.89%,1.03%, 40.42 , 3.33 
open_acc,num_bc_sats,63.98%,63.98%,1.78%,0.43%, 0.00 , 2.77 
num_bc_sats,num_sats,63.72%,63.72%,0.43%,1.84%, 2.77 , 2.77 
pub_rec,pub_rec_bankruptcies,63.32%,63.32%,2.88%,2.17%, 0.00 , 0.07 
total_acc,num_bc_tl,62.82%,62.82%,1.58%,1.56%, 0.00 , 3.33 
open_acc_6m,open_rv_12m,62.55%,62.55%,6.07%,5.27%, 40.42 , 40.42 
mo_sin_rcnt_rev_tl_op,mths_since_recent_bc,62.04%,62.04%,5.12%,4.36%, 3.33 , 3.34 
num_bc_sats,total_bc_limit,61.83%,61.83%,0.43%,7.27%, 2.77 , 2.36 
all_util,bc_util,60.85%,60.85%,7.38%,7.59%, 40.43 , 3.46 
mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,60.83%,60.83%,5.12%,5.35%, 3.33 , 3.33 
num_actv_bc_tl,num_bc_tl,60.66%,60.66%,2.34%,1.56%, 3.33 , 3.33 
num_bc_sats,num_rev_accts,59.39%,59.39%,0.43%,2.22%, 2.77 , 3.33 
num_actv_rev_tl,num_rev_accts,59.25%,59.25%,5.07%,2.22%, 3.33 , 3.33 
mths_since_last_major_derog,mths_since_recent_bc_dlq,59.11%,59.11%,1.14%,0.31%, 73.98 , 76.74 
num_rev_accts,num_rev_tl_bal_gt_0,58.95%,58.95%,2.22%,5.06%, 3.33 , 3.33 
num_il_tl,total_il_high_credit_limit,58.27%,58.27%,1.03%,1.21%, 3.33 , 3.33 
total_bal_il,num_il_tl,57.73%,57.73%,0.20%,1.03%, 40.42 , 3.33 
num_accts_ever_120_pd,pct_tl_nvr_dlq,-57.70%,57.70%,0.85%,0.37%, 3.33 , 3.33 
total_acc,num_op_rev_tl,57.21%,57.21%,1.58%,2.36%, 0.00 , 3.33 
mths_since_last_major_derog,mths_since_recent_revol_delinq,56.94%,56.94%,1.14%,0.67%, 73.98 , 66.98 
inq_last_6mths,mths_since_recent_inq,-56.86%,56.86%,7.88%,5.32%, 0.00 , 13.08 
open_il_24m,acc_open_past_24mths,56.85%,56.85%,6.07%,8.87%, 40.42 , 2.36 
open_rv_24m,num_op_rev_tl,56.82%,56.82%,6.91%,2.36%, 40.42 , 3.33 
max_bal_bc,total_bc_limit,56.22%,56.22%,3.23%,7.27%, 40.42 , 2.36 
open_acc_6m,acc_open_past_24mths,56.19%,56.19%,6.07%,8.87%, 40.42 , 2.36 
open_acc,num_actv_bc_tl,56.00%,56.00%,1.78%,2.34%, 0.00 , 3.33 
num_actv_bc_tl,num_sats,55.92%,55.92%,2.34%,1.84%, 3.33 , 2.77 
inq_fi,inq_last_12m,55.69%,55.69%,3.68%,6.37%, 40.42 , 40.42 
il_util,all_util,55.51%,55.51%,5.89%,7.38%, 48.95 , 40.43 
open_il_12m,num_tl_op_past_12m,55.41%,55.41%,6.05%,7.72%, 40.42 , 3.33 
open_act_il,total_il_high_credit_limit,55.31%,55.31%,0.89%,1.21%, 40.42 , 3.33 
delinq_2yrs,mths_since_last_delinq,-55.04%,55.04%,1.91%,1.30%, 0.00 , 50.89 
open_act_il,total_bal_il,55.03%,55.03%,0.89%,0.20%, 40.42 , 40.42 
revol_bal,max_bal_bc,54.54%,54.54%,1.79%,3.23%, - , 40.42 
open_acc,num_bc_tl,54.24%,54.24%,1.78%,1.56%, 0.00 , 3.33 
tot_cur_bal,mort_acc,54.04%,54.04%,5.24%,3.24%, 3.33 , 2.36 
mort_acc,tot_hi_cred_lim,54.04%,54.04%,3.24%,6.20%, 2.36 , 3.33 
num_bc_tl,num_sats,53.91%,53.91%,1.56%,1.84%, 3.33 , 2.77 
bc_open_to_buy,bc_util,-53.90%,53.90%,8.08%,7.59%, 3.40 , 3.46 
tot_cur_bal,total_bal_ex_mort,53.28%,53.28%,5.24%,1.03%, 3.33 , 2.36 
inq_last_12m,mths_since_recent_inq,-52.84%,52.84%,6.37%,5.32%, 40.42 , 13.08 
purpose,title,52.84%,52.84%,1.37%,2.77%, - , 1.05 
revol_bal,total_bal_ex_mort,52.38%,52.38%,1.79%,1.03%, - , 2.36 
open_act_il,num_sats,51.79%,51.79%,0.89%,1.84%, 40.42 , 2.77 
tot_hi_cred_lim,total_bal_ex_mort,51.62%,51.62%,6.20%,1.03%, 3.33 , 2.36 
open_acc,open_act_il,51.62%,51.62%,1.78%,0.89%, 0.00 , 40.42 
num_bc_tl,total_bc_limit,50.95%,50.95%,1.56%,7.27%, 3.33 , 2.36 
