Feature 1,Feature 2,Correlation,Abs_Correlation,label_abs_corr_feat1,label_abs_corr_feat2, Feature 1 Missing , Feature 2 Missing 
mths_since_recent_bc,percent_bc_gt_75,15.47%,15.47%,4.36%,7.83%, 3.34 , 3.43 
num_actv_rev_tl,total_bal_ex_mort,15.45%,15.45%,5.07%,1.03%, 3.33 , 2.36 
bc_util,mths_since_recent_bc,15.41%,15.41%,7.59%,4.36%, 3.46 , 3.34 
il_util,inq_fi,15.41%,15.41%,5.89%,3.68%, 48.95 , 40.42 
mths_since_recent_bc_dlq,num_accts_ever_120_pd,15.38%,15.38%,0.31%,0.85%, 76.74 , 3.33 
total_bal_il,inq_fi,15.38%,15.38%,0.20%,3.68%, 40.42 , 40.42 
avg_cur_bal,mths_since_recent_bc,15.37%,15.37%,5.62%,4.36%, 3.33 , 3.34 
mo_sin_rcnt_rev_tl_op,mths_since_recent_inq,15.37%,15.37%,5.12%,5.32%, 3.33 , 13.08 
open_rv_24m,bc_open_to_buy,15.36%,15.36%,6.91%,8.08%, 40.42 , 3.40 
inq_fi,total_il_high_credit_limit,15.32%,15.32%,3.68%,1.21%, 40.42 , 3.33 
mths_since_last_record,num_rev_accts,-15.31%,15.31%,2.03%,2.22%, 84.01 , 3.33 
mo_sin_rcnt_tl,num_rev_tl_bal_gt_0,-15.24%,15.24%,5.35%,5.06%, 3.33 , 3.33 
total_bal_il,inq_last_12m,15.24%,15.24%,0.20%,6.37%, 40.42 , 40.42 
inq_last_12m,num_op_rev_tl,15.21%,15.21%,6.37%,2.36%, 40.42 , 3.33 
total_bal_il,num_tl_op_past_12m,15.20%,15.20%,0.20%,7.72%, 40.42 , 3.33 
int_rate,open_il_24m,15.19%,15.19%,19.85%,6.07%, - , 40.42 
delinq_2yrs,chargeoff_within_12_mths,15.18%,15.18%,1.91%,0.21%, 0.00 , 0.01 
funded_amnt,num_actv_rev_tl,15.17%,15.17%,2.68%,5.07%, - , 3.33 
loan_amnt,num_actv_rev_tl,15.17%,15.17%,2.68%,5.07%, - , 3.33 
funded_amnt_inv,num_actv_rev_tl,15.16%,15.16%,2.64%,5.07%, - , 3.33 
loan_amnt,total_bal_il,15.16%,15.16%,2.68%,0.20%, - , 40.42 
funded_amnt,total_bal_il,15.16%,15.16%,2.68%,0.20%, - , 40.42 
funded_amnt_inv,total_bal_il,15.16%,15.16%,2.64%,0.20%, - , 40.42 
total_rev_hi_lim,percent_bc_gt_75,-15.14%,15.14%,5.74%,7.83%, 3.33 , 3.43 
dti,revol_bal,15.14%,15.14%,7.83%,1.79%, - , - 
grade,mths_since_recent_inq,-15.12%,15.12%,22.19%,5.32%, - , 13.08 
inq_last_6mths,total_acc,15.12%,15.12%,7.88%,1.58%, 0.00 , 0.00 
grade,il_util,15.11%,15.11%,22.19%,5.89%, - , 48.95 
avg_cur_bal,num_rev_tl_bal_gt_0,-15.08%,15.08%,5.62%,5.06%, 3.33 , 3.33 
num_bc_sats,pct_tl_nvr_dlq,15.08%,15.08%,0.43%,0.37%, 2.77 , 3.33 
funded_amnt,num_rev_tl_bal_gt_0,15.06%,15.06%,2.68%,5.06%, - , 3.33 
loan_amnt,num_rev_tl_bal_gt_0,15.06%,15.06%,2.68%,5.06%, - , 3.33 
funded_amnt_inv,num_rev_tl_bal_gt_0,15.06%,15.06%,2.64%,5.06%, - , 3.33 
revol_util,mths_since_recent_bc,15.04%,15.04%,6.95%,4.36%, 0.08 , 3.34 
grade,open_il_24m,15.04%,15.04%,22.19%,6.07%, - , 40.42 
mths_since_last_record,total_acc,-15.01%,15.01%,2.03%,1.58%, 84.01 , 0.00 
int_rate,il_util,14.99%,14.99%,19.85%,5.89%, - , 48.95 
inq_last_12m,num_il_tl,14.99%,14.99%,6.37%,1.03%, 40.42 , 3.33 
avg_cur_bal,num_actv_rev_tl,-14.95%,14.95%,5.62%,5.07%, 3.33 , 3.33 
installment,mo_sin_old_rev_tl_op,14.92%,14.92%,3.00%,3.56%, - , 3.33 
total_acc,num_accts_ever_120_pd,14.91%,14.91%,1.58%,0.85%, 0.00 , 3.33 
num_bc_sats,total_bal_ex_mort,14.88%,14.88%,0.43%,1.03%, 2.77 , 2.36 
revol_bal,total_il_high_credit_limit,14.85%,14.85%,1.79%,1.21%, - , 3.33 
funded_amnt_inv,purpose,-14.80%,14.80%,2.64%,1.37%, - , - 
open_acc,mo_sin_old_rev_tl_op,14.74%,14.74%,1.78%,3.56%, 0.00 , 3.33 
funded_amnt,purpose,-14.72%,14.72%,2.68%,1.37%, - , - 
loan_amnt,purpose,-14.68%,14.68%,2.68%,1.37%, - , - 
open_acc,mo_sin_old_il_acct,14.64%,14.64%,1.78%,2.12%, 0.00 , 6.37 
revol_util,num_sats,-14.58%,14.58%,6.95%,1.84%, 0.08 , 2.77 
int_rate,mths_since_recent_inq,-14.56%,14.56%,19.85%,5.32%, - , 13.08 
annual_inc,dti,-14.53%,14.53%,3.54%,7.83%, - , - 
mo_sin_old_il_acct,num_sats,14.51%,14.51%,2.12%,1.84%, 6.37 , 2.77 
inq_last_6mths,num_op_rev_tl,14.49%,14.49%,7.88%,2.36%, 0.00 , 3.33 
tot_cur_bal,num_bc_tl,14.43%,14.43%,5.24%,1.56%, 3.33 , 3.33 
mo_sin_old_rev_tl_op,num_sats,14.37%,14.37%,3.56%,1.84%, 3.33 , 2.77 
max_bal_bc,all_util,14.36%,14.36%,3.23%,7.38%, 40.42 , 40.43 
total_cu_tl,total_il_high_credit_limit,14.35%,14.35%,0.93%,1.21%, 40.42 , 3.33 
mths_since_recent_revol_delinq,num_tl_90g_dpd_24m,-14.35%,14.35%,0.67%,1.22%, 66.98 , 3.33 
dti,acc_open_past_24mths,14.34%,14.34%,7.83%,8.87%, - , 2.36 
open_acc,revol_util,-14.33%,14.33%,1.78%,6.95%, 0.00 , 0.08 
tot_cur_bal,num_rev_accts,14.29%,14.29%,5.24%,2.22%, 3.33 , 3.33 
inq_last_6mths,year_issued,-14.29%,14.29%,7.88%,14.60%, 0.00 , - 
annual_inc,bc_open_to_buy,14.26%,14.26%,3.54%,8.08%, - , 3.40 
pub_rec_bankruptcies,total_bc_limit,-14.25%,14.25%,2.17%,7.27%, 0.07 , 2.36 
inq_last_6mths,open_il_24m,14.22%,14.22%,7.88%,6.07%, 0.00 , 40.42 
open_rv_24m,total_rev_hi_lim,14.20%,14.20%,6.91%,5.74%, 40.42 , 3.33 
sub_grade,open_acc_6m,14.19%,14.19%,22.50%,6.07%, - , 40.42 
bc_open_to_buy,num_rev_tl_bal_gt_0,14.16%,14.16%,8.08%,5.06%, 3.40 , 3.33 
open_il_24m,mths_since_recent_inq,-14.16%,14.16%,6.07%,5.32%, 40.42 , 13.08 
num_actv_bc_tl,tot_hi_cred_lim,14.15%,14.15%,2.34%,6.20%, 3.33 , 3.33 
mths_since_rcnt_il,total_cu_tl,-14.14%,14.14%,3.24%,0.93%, 42.30 , 40.42 
revol_bal,percent_bc_gt_75,14.14%,14.14%,1.79%,7.83%, - , 3.43 
inq_last_12m,total_il_high_credit_limit,14.12%,14.12%,6.37%,1.21%, 40.42 , 3.33 
tot_cur_bal,open_il_12m,14.03%,14.03%,5.24%,6.05%, 3.33 , 40.42 
bc_open_to_buy,year_issued,14.00%,14.00%,8.08%,14.60%, 3.40 , - 
installment,home_ownership,-13.99%,13.99%,3.00%,5.05%, - , - 
num_op_rev_tl,pct_tl_nvr_dlq,13.99%,13.99%,2.36%,0.37%, 3.33 , 3.33 
term,initial_list_status,13.98%,13.98%,9.11%,6.85%, - , - 
inq_last_6mths,num_sats,13.97%,13.97%,7.88%,1.84%, 0.00 , 2.77 
mths_since_recent_revol_delinq,num_accts_ever_120_pd,13.95%,13.95%,0.67%,0.85%, 66.98 , 3.33 
mo_sin_old_il_acct,num_rev_accts,13.92%,13.92%,2.12%,2.22%, 6.37 , 3.33 
total_bc_limit,total_il_high_credit_limit,13.91%,13.91%,7.27%,1.21%, 2.36 , 3.33 
num_bc_tl,percent_bc_gt_75,-13.91%,13.91%,1.56%,7.83%, 3.33 , 3.43 
home_ownership,open_acc,-13.91%,13.91%,5.05%,1.78%, - , 0.00 
installment,total_bal_il,13.91%,13.91%,3.00%,0.20%, - , 40.42 
revol_util,total_rev_hi_lim,-13.90%,13.90%,6.95%,5.74%, 0.08 , 3.33 
term,installment,13.90%,13.90%,9.11%,3.00%, - , - 
total_acc,max_bal_bc,13.88%,13.88%,1.58%,3.23%, 0.00 , 40.42 
num_op_rev_tl,total_bal_ex_mort,13.87%,13.87%,2.36%,1.03%, 3.33 , 2.36 
num_accts_ever_120_pd,num_il_tl,13.86%,13.86%,0.85%,1.03%, 3.33 , 3.33 
num_op_rev_tl,percent_bc_gt_75,-13.79%,13.79%,2.36%,7.83%, 3.33 , 3.43 
mo_sin_rcnt_tl,num_bc_tl,-13.79%,13.79%,5.35%,1.56%, 3.33 , 3.33 
grade,open_acc_6m,13.77%,13.77%,22.19%,6.07%, - , 40.42 
home_ownership,max_bal_bc,-13.73%,13.73%,5.05%,3.23%, - , 40.42 
num_tl_op_past_12m,total_il_high_credit_limit,13.72%,13.72%,7.72%,1.21%, 3.33 , 3.33 
max_bal_bc,pct_tl_nvr_dlq,13.71%,13.71%,3.23%,0.37%, 40.42 , 3.33 
bc_util,mo_sin_rcnt_tl,13.71%,13.71%,7.59%,5.35%, 3.46 , 3.33 
mo_sin_old_rev_tl_op,num_actv_bc_tl,13.68%,13.68%,3.56%,2.34%, 3.33 , 3.33 
mths_since_last_major_derog,pct_tl_nvr_dlq,13.63%,13.63%,1.14%,0.37%, 73.98 , 3.33 
mo_sin_rcnt_tl,num_bc_sats,-13.61%,13.61%,5.35%,0.43%, 3.33 , 2.77 
inq_last_6mths,num_bc_tl,13.60%,13.60%,7.88%,1.56%, 0.00 , 3.33 
home_ownership,total_bc_limit,-13.60%,13.60%,5.05%,7.27%, - , 2.36 
home_ownership,num_sats,-13.59%,13.59%,5.05%,1.84%, - , 2.77 
home_ownership,num_rev_accts,-13.53%,13.53%,5.05%,2.22%, - , 3.33 
open_acc_6m,num_il_tl,13.51%,13.51%,6.07%,1.03%, 40.42 , 3.33 
int_rate,open_acc_6m,13.50%,13.50%,19.85%,6.07%, - , 40.42 
num_rev_accts,total_bal_ex_mort,13.45%,13.45%,2.22%,1.03%, 3.33 , 2.36 
num_bc_tl,total_bal_ex_mort,13.44%,13.44%,1.56%,1.03%, 3.33 , 2.36 
revol_util,inq_last_12m,-13.44%,13.44%,6.95%,6.37%, 0.08 , 40.42 
home_ownership,annual_inc,-13.40%,13.40%,5.05%,3.54%, - , - 
revol_util,avg_cur_bal,13.40%,13.40%,6.95%,5.62%, 0.08 , 3.33 
verification_status,revol_util,13.39%,13.39%,9.68%,6.95%, - , 0.08 
inq_last_6mths,open_acc,13.34%,13.34%,7.88%,1.78%, 0.00 , 0.00 
verification_status,bc_util,13.33%,13.33%,9.68%,7.59%, - , 3.46 
acc_open_past_24mths,bc_open_to_buy,13.29%,13.29%,8.87%,8.08%, 2.36 , 3.40 
num_actv_bc_tl,pct_tl_nvr_dlq,13.29%,13.29%,2.34%,0.37%, 3.33 , 3.33 
sub_grade,open_rv_24m,13.29%,13.29%,22.50%,6.91%, - , 40.42 
open_acc,mort_acc,13.27%,13.27%,1.78%,3.24%, 0.00 , 2.36 
int_rate,inq_fi,13.25%,13.25%,19.85%,3.68%, - , 40.42 
mths_since_last_record,mo_sin_old_rev_tl_op,-13.24%,13.24%,2.03%,3.56%, 84.01 , 3.33 
sub_grade,inq_fi,13.24%,13.24%,22.50%,3.68%, - , 40.42 
open_rv_12m,avg_cur_bal,-13.21%,13.21%,5.27%,5.62%, 40.42 , 3.33 
mo_sin_rcnt_tl,num_il_tl,-13.20%,13.20%,5.35%,1.03%, 3.33 , 3.33 
home_ownership,total_bal_ex_mort,-13.20%,13.20%,5.05%,1.03%, - , 2.36 
collections_12_mths_ex_med,mths_since_last_major_derog,-13.17%,13.17%,1.01%,1.14%, 0.01 , 73.98 
num_rev_tl_bal_gt_0,tot_hi_cred_lim,13.13%,13.13%,5.06%,6.20%, 3.33 , 3.33 
num_actv_rev_tl,tot_hi_cred_lim,13.13%,13.13%,5.07%,6.20%, 3.33 , 3.33 
open_rv_24m,mths_since_recent_bc_dlq,13.13%,13.13%,6.91%,0.31%, 40.42 , 76.74 
open_rv_12m,bc_open_to_buy,13.11%,13.11%,5.27%,8.08%, 40.42 , 3.40 
max_bal_bc,num_actv_rev_tl,13.10%,13.10%,3.23%,5.07%, 40.42 , 3.33 
avg_cur_bal,total_bc_limit,13.07%,13.07%,5.62%,7.27%, 3.33 , 2.36 
verification_status,percent_bc_gt_75,13.07%,13.07%,9.68%,7.83%, - , 3.43 
installment,purpose,-13.06%,13.06%,3.00%,1.37%, - , - 
open_il_12m,tot_hi_cred_lim,13.05%,13.05%,6.05%,6.20%, 40.42 , 3.33 
acc_open_past_24mths,mths_since_recent_revol_delinq,13.03%,13.03%,8.87%,0.67%, 2.36 , 66.98 
mort_acc,num_sats,13.02%,13.02%,3.24%,1.84%, 2.36 , 2.77 
open_acc_6m,num_actv_bc_tl,13.01%,13.01%,6.07%,2.34%, 40.42 , 3.33 
open_rv_24m,inq_fi,13.00%,13.00%,6.91%,3.68%, 40.42 , 40.42 
bc_util,num_rev_accts,-12.99%,12.99%,7.59%,2.22%, 3.46 , 3.33 
avg_cur_bal,mo_sin_old_rev_tl_op,12.99%,12.99%,5.62%,3.56%, 3.33 , 3.33 
bc_util,mo_sin_rcnt_rev_tl_op,12.98%,12.98%,7.59%,5.12%, 3.46 , 3.33 
il_util,num_sats,12.96%,12.96%,5.89%,1.84%, 48.95 , 2.77 
tot_cur_bal,inq_last_12m,12.96%,12.96%,5.24%,6.37%, 3.33 , 40.42 
grade,initial_list_status,-12.95%,12.95%,22.19%,6.85%, - , - 
num_accts_ever_120_pd,total_bc_limit,-12.94%,12.94%,0.85%,7.27%, 3.33 , 2.36 
dti,max_bal_bc,12.91%,12.91%,7.83%,3.23%, - , 40.42 
bc_open_to_buy,num_actv_rev_tl,12.90%,12.90%,8.08%,5.07%, 3.40 , 3.33 
total_acc,mths_since_recent_inq,-12.86%,12.86%,1.58%,5.32%, 0.00 , 13.08 
grade,open_rv_24m,12.82%,12.82%,22.19%,6.91%, - , 40.42 
open_acc,il_util,12.81%,12.81%,1.78%,5.89%, 0.00 , 48.95 
revol_util,num_bc_sats,-12.80%,12.80%,6.95%,0.43%, 0.08 , 2.77 
mths_since_last_record,mort_acc,-12.79%,12.79%,2.03%,3.24%, 84.01 , 2.36 
revol_util,num_bc_tl,-12.76%,12.76%,6.95%,1.56%, 0.08 , 3.33 
annual_inc,open_acc,12.74%,12.74%,3.54%,1.78%, - , 0.00 
inq_last_6mths,mths_since_recent_bc,-12.74%,12.74%,7.88%,4.36%, 0.00 , 3.34 
dti,total_cu_tl,12.73%,12.73%,7.83%,0.93%, - , 40.42 
dti,num_bc_sats,12.73%,12.73%,7.83%,0.43%, - , 2.77 
grade,inq_fi,12.72%,12.72%,22.19%,3.68%, - , 40.42 
mo_sin_rcnt_rev_tl_op,percent_bc_gt_75,12.67%,12.67%,5.12%,7.83%, 3.33 , 3.43 
inq_last_6mths,num_actv_rev_tl,12.66%,12.66%,7.88%,5.07%, 0.00 , 3.33 
mo_sin_rcnt_tl,percent_bc_gt_75,12.62%,12.62%,5.35%,7.83%, 3.33 , 3.43 
int_rate,mo_sin_old_rev_tl_op,-12.59%,12.59%,19.85%,3.56%, - , 3.33 
funded_amnt_inv,title,-12.58%,12.58%,2.64%,2.77%, - , 1.05 
inq_last_12m,mths_since_recent_bc,-12.56%,12.56%,6.37%,4.36%, 40.42 , 3.34 
total_bal_il,mo_sin_rcnt_tl,-12.53%,12.53%,0.20%,5.35%, 40.42 , 3.33 
max_bal_bc,num_rev_tl_bal_gt_0,12.53%,12.53%,3.23%,5.06%, 40.42 , 3.33 
annual_inc,num_sats,12.51%,12.51%,3.54%,1.84%, - , 2.77 
int_rate,initial_list_status,-12.50%,12.50%,19.85%,6.85%, - , - 
funded_amnt_inv,mo_sin_old_il_acct,12.49%,12.49%,2.64%,2.12%, - , 6.37 
funded_amnt,mo_sin_old_il_acct,12.49%,12.49%,2.68%,2.12%, - , 6.37 
loan_amnt,mo_sin_old_il_acct,12.49%,12.49%,2.68%,2.12%, - , 6.37 
sub_grade,initial_list_status,-12.46%,12.46%,22.50%,6.85%, - , - 
sub_grade,tot_hi_cred_lim,-12.45%,12.45%,22.50%,6.20%, - , 3.33 
funded_amnt,title,-12.43%,12.43%,2.68%,2.77%, - , 1.05 
mths_since_rcnt_il,all_util,-12.42%,12.42%,3.24%,7.38%, 42.30 , 40.43 
int_rate,open_rv_24m,12.42%,12.42%,19.85%,6.91%, - , 40.42 
mo_sin_old_rev_tl_op,mths_since_recent_bc,12.41%,12.41%,3.56%,4.36%, 3.33 , 3.34 
loan_amnt,title,-12.39%,12.39%,2.68%,2.77%, - , 1.05 
annual_inc,mo_sin_old_rev_tl_op,12.35%,12.35%,3.54%,3.56%, - , 3.33 
sub_grade,open_rv_12m,12.33%,12.33%,22.50%,5.27%, - , 40.42 
total_cu_tl,num_tl_op_past_12m,12.33%,12.33%,0.93%,7.72%, 40.42 , 3.33 
tot_cur_bal,num_bc_sats,12.33%,12.33%,5.24%,0.43%, 3.33 , 2.77 
inq_last_12m,num_bc_tl,12.32%,12.32%,6.37%,1.56%, 40.42 , 3.33 
total_bal_il,total_rev_hi_lim,12.31%,12.31%,0.20%,5.74%, 40.42 , 3.33 
total_cu_tl,tot_hi_cred_lim,12.30%,12.30%,0.93%,6.20%, 40.42 , 3.33 
sub_grade,mo_sin_old_rev_tl_op,-12.30%,12.30%,22.50%,3.56%, - , 3.33 
bc_open_to_buy,mort_acc,12.29%,12.29%,8.08%,3.24%, 3.40 , 2.36 
total_acc,mths_since_recent_bc,-12.29%,12.29%,1.58%,4.36%, 0.00 , 3.34 
installment,revol_util,12.28%,12.28%,3.00%,6.95%, - , 0.08 
bc_util,num_rev_tl_bal_gt_0,12.27%,12.27%,7.59%,5.06%, 3.46 , 3.33 
bc_open_to_buy,mths_since_recent_bc,-12.24%,12.24%,8.08%,4.36%, 3.40 , 3.34 
revol_util,total_bal_ex_mort,12.23%,12.23%,6.95%,1.03%, 0.08 , 2.36 
home_ownership,total_cu_tl,-12.23%,12.23%,5.05%,0.93%, - , 40.42 
all_util,year_issued,-12.20%,12.20%,7.38%,14.60%, 40.43 , - 
tot_cur_bal,total_cu_tl,12.18%,12.18%,5.24%,0.93%, 3.33 , 40.42 
int_rate,tot_hi_cred_lim,-12.15%,12.15%,19.85%,6.20%, - , 3.33 
int_rate,installment,12.13%,12.13%,19.85%,3.00%, - , - 
total_rev_hi_lim,acc_open_past_24mths,12.10%,12.10%,5.74%,8.87%, 3.33 , 2.36 
tot_cur_bal,inq_fi,12.09%,12.09%,5.24%,3.68%, 3.33 , 40.42 
open_rv_24m,max_bal_bc,-12.09%,12.09%,6.91%,3.23%, 40.42 , 40.42 
avg_cur_bal,mo_sin_old_il_acct,12.08%,12.08%,5.62%,2.12%, 3.33 , 6.37 
mths_since_last_major_derog,acc_open_past_24mths,12.08%,12.08%,1.14%,8.87%, 73.98 , 2.36 
mort_acc,total_il_high_credit_limit,12.06%,12.06%,3.24%,1.21%, 2.36 , 3.33 
mths_since_last_record,year_issued,12.05%,12.05%,2.03%,14.60%, 84.01 , - 
bc_open_to_buy,total_bal_ex_mort,12.04%,12.04%,8.08%,1.03%, 3.40 , 2.36 
total_cu_tl,total_bal_ex_mort,12.03%,12.03%,0.93%,1.03%, 40.42 , 2.36 
inq_last_12m,tot_hi_cred_lim,12.03%,12.03%,6.37%,6.20%, 40.42 , 3.33 
inq_last_6mths,num_bc_sats,12.01%,12.01%,7.88%,0.43%, 0.00 , 2.77 
mths_since_rcnt_il,tot_hi_cred_lim,-12.00%,12.00%,3.24%,6.20%, 42.30 , 3.33 
pub_rec,total_bc_limit,-11.99%,11.99%,2.88%,7.27%, 0.00 , 2.36 
grade,open_rv_12m,11.95%,11.95%,22.19%,5.27%, - , 40.42 
open_acc,max_bal_bc,11.93%,11.93%,1.78%,3.23%, 0.00 , 40.42 
max_bal_bc,num_sats,11.93%,11.93%,3.23%,1.84%, 40.42 , 2.77 
total_rev_hi_lim,pub_rec_bankruptcies,-11.92%,11.92%,5.74%,2.17%, 3.33 , 0.07 
inq_fi,num_sats,11.92%,11.92%,3.68%,1.84%, 40.42 , 2.77 
max_bal_bc,pub_rec_bankruptcies,-11.91%,11.91%,3.23%,2.17%, 40.42 , 0.07 
purpose,revol_util,-11.90%,11.90%,1.37%,6.95%, - , 0.08 
tot_cur_bal,mths_since_rcnt_il,-11.90%,11.90%,5.24%,3.24%, 3.33 , 42.30 
delinq_2yrs,total_acc,11.89%,11.89%,1.91%,1.58%, 0.00 , 0.00 
mths_since_recent_bc_dlq,num_tl_op_past_12m,11.87%,11.87%,0.31%,7.72%, 76.74 , 3.33 
inq_last_12m,bc_util,-11.86%,11.86%,6.37%,7.59%, 40.42 , 3.46 
total_bal_il,total_cu_tl,11.85%,11.85%,0.20%,0.93%, 40.42 , 40.42 
max_bal_bc,num_rev_accts,11.85%,11.85%,3.23%,2.22%, 40.42 , 3.33 
num_bc_tl,year_issued,-11.84%,11.84%,1.56%,14.60%, 3.33 , - 
installment,sub_grade,11.82%,11.82%,3.00%,22.50%, - , - 
chargeoff_within_12_mths,num_accts_ever_120_pd,11.81%,11.81%,0.21%,0.85%, 0.01 , 3.33 
bc_open_to_buy,num_tl_op_past_12m,11.78%,11.78%,8.08%,7.72%, 3.40 , 3.33 
open_acc,inq_fi,11.78%,11.78%,1.78%,3.68%, 0.00 , 40.42 
total_cu_tl,num_rev_accts,11.77%,11.77%,0.93%,2.22%, 40.42 , 3.33 
total_acc,il_util,11.77%,11.77%,1.58%,5.89%, 0.00 , 48.95 
bc_util,num_actv_rev_tl,11.76%,11.76%,7.59%,5.07%, 3.46 , 3.33 
acc_open_past_24mths,tot_hi_cred_lim,11.74%,11.74%,8.87%,6.20%, 2.36 , 3.33 
tot_coll_amt,num_accts_ever_120_pd,11.72%,11.72%,0.15%,0.85%, 3.33 , 3.33 
mo_sin_rcnt_tl,total_il_high_credit_limit,-11.72%,11.72%,5.35%,1.21%, 3.33 , 3.33 
all_util,mo_sin_rcnt_rev_tl_op,11.70%,11.70%,7.38%,5.12%, 40.43 , 3.33 
grade,tot_hi_cred_lim,-11.69%,11.69%,22.19%,6.20%, - , 3.33 
num_tl_op_past_12m,total_bal_ex_mort,11.66%,11.66%,7.72%,1.03%, 3.33 , 2.36 
open_act_il,num_tl_op_past_12m,11.65%,11.65%,0.89%,7.72%, 40.42 , 3.33 
sub_grade,mo_sin_rcnt_tl,-11.64%,11.64%,22.50%,5.35%, - , 3.33 
int_rate,open_rv_12m,11.64%,11.64%,19.85%,5.27%, - , 40.42 
dti,avg_cur_bal,-11.63%,11.63%,7.83%,5.62%, - , 3.33 
max_bal_bc,mo_sin_old_il_acct,11.63%,11.63%,3.23%,2.12%, 40.42 , 6.37 
avg_cur_bal,num_bc_sats,-11.62%,11.62%,5.62%,0.43%, 3.33 , 2.77 
mo_sin_old_rev_tl_op,total_bal_ex_mort,11.61%,11.61%,3.56%,1.03%, 3.33 , 2.36 
installment,grade,11.60%,11.60%,3.00%,22.19%, - , - 
revol_bal,total_bal_il,11.58%,11.58%,1.79%,0.20%, - , 40.42 
num_sats,pct_tl_nvr_dlq,11.54%,11.54%,1.84%,0.37%, 2.77 , 3.33 
grade,mo_sin_old_rev_tl_op,-11.54%,11.54%,22.19%,3.56%, - , 3.33 
il_util,max_bal_bc,-11.52%,11.52%,5.89%,3.23%, 48.95 , 40.42 
open_acc_6m,total_bal_il,11.52%,11.52%,6.07%,0.20%, 40.42 , 40.42 
annual_inc,num_bc_tl,11.50%,11.50%,3.54%,1.56%, - , 3.33 
desc,title,-11.50%,11.50%,1.96%,2.77%, 94.16 , 1.05 
mths_since_last_delinq,acc_open_past_24mths,11.46%,11.46%,1.30%,8.87%, 50.89 , 2.36 
purpose,max_bal_bc,-11.41%,11.41%,1.37%,3.23%, - , 40.42 
open_rv_12m,total_rev_hi_lim,11.38%,11.38%,5.27%,5.74%, 40.42 , 3.33 
inq_last_12m,total_bal_ex_mort,11.37%,11.37%,6.37%,1.03%, 40.42 , 2.36 
annual_inc,num_bc_sats,11.36%,11.36%,3.54%,0.43%, - , 2.77 
installment,title,-11.35%,11.35%,3.00%,2.77%, - , 1.05 
open_acc,pct_tl_nvr_dlq,11.34%,11.34%,1.78%,0.37%, 0.00 , 3.33 
mo_sin_old_il_acct,num_accts_ever_120_pd,11.34%,11.34%,2.12%,0.85%, 6.37 , 3.33 
revol_bal,all_util,11.30%,11.30%,1.79%,7.38%, - , 40.43 
avg_cur_bal,num_actv_bc_tl,-11.29%,11.29%,5.62%,2.34%, 3.33 , 3.33 
total_bal_il,max_bal_bc,11.27%,11.27%,0.20%,3.23%, 40.42 , 40.42 
inq_last_12m,percent_bc_gt_75,-11.26%,11.26%,6.37%,7.83%, 40.42 , 3.43 
purpose,bc_util,-11.25%,11.25%,1.37%,7.59%, - , 3.46 
inq_fi,tot_hi_cred_lim,11.22%,11.22%,3.68%,6.20%, 40.42 , 3.33 
open_acc_6m,bc_open_to_buy,11.22%,11.22%,6.07%,8.08%, 40.42 , 3.40 
home_ownership,inq_last_12m,-11.21%,11.21%,5.05%,6.37%, - , 40.42 
grade,mo_sin_rcnt_tl,-11.20%,11.20%,22.19%,5.35%, - , 3.33 
inq_fi,total_bal_ex_mort,11.20%,11.20%,3.68%,1.03%, 40.42 , 2.36 
max_bal_bc,mo_sin_rcnt_rev_tl_op,11.15%,11.15%,3.23%,5.12%, 40.42 , 3.33 
verification_status,num_tl_op_past_12m,11.15%,11.15%,9.68%,7.72%, - , 3.33 
revol_bal,pct_tl_nvr_dlq,11.14%,11.14%,1.79%,0.37%, - , 3.33 
inq_last_12m,mort_acc,11.10%,11.10%,6.37%,3.24%, 40.42 , 2.36 
open_il_24m,mort_acc,11.10%,11.10%,6.07%,3.24%, 40.42 , 2.36 
total_cu_tl,mo_sin_old_il_acct,11.08%,11.08%,0.93%,2.12%, 40.42 , 6.37 
acc_open_past_24mths,pub_rec_bankruptcies,11.04%,11.04%,8.87%,2.17%, 2.36 , 0.07 
mths_since_rcnt_il,mths_since_recent_inq,10.99%,10.99%,3.24%,5.32%, 42.30 , 13.08 
mths_since_last_record,open_rv_24m,-10.99%,10.99%,2.03%,6.91%, 84.01 , 40.42 
mths_since_last_delinq,num_tl_30dpd,-10.99%,10.99%,1.30%,0.48%, 50.89 , 3.33 
num_rev_accts,percent_bc_gt_75,-10.95%,10.95%,2.22%,7.83%, 3.33 , 3.43 
home_ownership,total_il_high_credit_limit,-10.94%,10.94%,5.05%,1.21%, - , 3.33 
mo_sin_old_il_acct,num_bc_tl,10.90%,10.90%,2.12%,1.56%, 6.37 , 3.33 
tot_cur_bal,acc_open_past_24mths,10.88%,10.88%,5.24%,8.87%, 3.33 , 2.36 
term,tot_cur_bal,10.87%,10.87%,9.11%,5.24%, - , 3.33 
inq_last_6mths,num_rev_tl_bal_gt_0,10.86%,10.86%,7.88%,5.06%, 0.00 , 3.33 
int_rate,mo_sin_rcnt_tl,-10.85%,10.85%,19.85%,5.35%, - , 3.33 
num_rev_tl_bal_gt_0,pct_tl_nvr_dlq,10.83%,10.83%,5.06%,0.37%, 3.33 , 3.33 
mths_since_last_delinq,pub_rec_bankruptcies,10.76%,10.76%,1.30%,2.17%, 50.89 , 0.07 
il_util,total_bc_limit,-10.74%,10.74%,5.89%,7.27%, 48.95 , 2.36 
