feature,contribution,abs_contribution
purpose,0.5036006478422703,0.5036006478422703
home_ownership,0.18485192212729792,0.18485192212729792
sub_grade,-0.0942142673834108,0.0942142673834108
issue_year,-0.07417202004280758,0.07417202004280758
earliest_cr_line_month,0.053604900845130414,0.053604900845130414
delinq_amnt,0.04045414600950553,0.04045414600950553
emp_length,0.03919093626664757,0.03919093626664757
tax_liens,-0.03578693889366167,0.03578693889366167
term_in_months,-0.03186622105078758,0.03186622105078758
num_tl_30dpd,-0.029583733344457835,0.029583733344457835
verification_status,-0.02743823730511287,0.02743823730511287
title,-0.02657855566627591,0.02657855566627591
total_bc_limit,0.021340500473350614,0.021340500473350614
num_tl_op_past_12m,0.018753505808116865,0.018753505808116865
percent_bc_gt_75,0.017179124796745514,0.017179124796745514
mths_since_recent_inq,-0.01716323280700736,0.01716323280700736
total_il_high_credit_limit,0.014627629189507262,0.014627629189507262
delinq_2yrs,-0.013563484421428367,0.013563484421428367
dti,-0.013375327040676342,0.013375327040676342
inq_last_6mths,-0.013296762374892334,0.013296762374892334
loan_amnt,-0.012585902771743745,0.012585902771743745
total_bal_ex_mort,-0.011951990493243345,0.011951990493243345
earliest_cr_line_year,-0.011187822467877138,0.011187822467877138
annual_inc,0.008525041790852863,0.008525041790852863
pub_rec_bankruptcies,-0.008051941470427582,0.008051941470427582
revol_bal,0.007736172563800803,0.007736172563800803
emp_title,0.007596050517085179,0.007596050517085179
pct_tl_nvr_dlq,-0.006933831339910436,0.006933831339910436
avg_cur_bal,0.0067879299660964015,0.0067879299660964015
num_bc_tl,-0.006569015047458984,0.006569015047458984
bc_open_to_buy,0.006219034249320711,0.006219034249320711
acc_open_past_24mths,0.005698805500855202,0.005698805500855202
pub_rec <= -0.34,-0.005270342486148754,0.005270342486148754
open_acc,-0.0051589081976765655,0.0051589081976765655
revol_util,0.005110064884895285,0.005110064884895285
mo_sin_old_il_acct,0.004180161007846832,0.004180161007846832
collections_12_mths_ex_med,-0.003979971663663409,0.003979971663663409
num_il_tl,0.003942571934307632,0.003942571934307632
num_actv_bc_tl,-0.003799610639985784,0.003799610639985784
mo_sin_old_rev_tl_op,0.0037640850521460964,0.0037640850521460964
tot_hi_cred_lim,-0.003728063988758988,0.003728063988758988
mo_sin_rcnt_rev_tl_op,-0.0035823427559876124,0.0035823427559876124
num_accts_ever_120_pd,-0.0033900385684182514,0.0033900385684182514
num_tl_90g_dpd_24m,-0.0027583057510192494,0.0027583057510192494
num_rev_accts,0.002229972575341404,0.002229972575341404
initial_list_status,0.0021165633381942904,0.0021165633381942904
mths_since_recent_bc,0.0020426535566177256,0.0020426535566177256
num_op_rev_tl,-0.00194646342329667,0.00194646342329667
mo_sin_rcnt_tl,0.0015072603147974518,0.0015072603147974518
num_bc_sats,-0.0014823575828540488,0.0014823575828540488
total_acc,-0.0014562396991839388,0.0014562396991839388
num_actv_rev_tl,0.0013711739942641253,0.0013711739942641253
bc_util,0.0009347468489289102,0.0009347468489289102
mort_acc,-0.0005760636076681826,0.0005760636076681826
issue_month,-0.0005625059462948385,0.0005625059462948385
total_rev_hi_lim,-6.421692421623068e-05,6.421692421623068e-05
