feature,contribution,abs_contribution
sub_grade,-0.15367611541669224,0.15367611541669224
num_tl_30dpd,-0.13350270577195392,0.13350270577195392
purpose,-0.1005198765502761,0.1005198765502761
issue_month,0.07640461498293774,0.07640461498293774
delinq_amnt,0.029491985286348825,0.029491985286348825
loan_amnt,-0.029289153879308867,0.029289153879308867
dti,-0.029054257889779354,0.029054257889779354
earliest_cr_line_month,-0.02838034328691554,0.02838034328691554
acc_open_past_24mths,0.028125802574426883,0.028125802574426883
total_bc_limit,0.024411586386503745,0.024411586386503745
num_tl_90g_dpd_24m,-0.021903699976483445,0.021903699976483445
mo_sin_old_rev_tl_op,-0.01738184116500283,0.01738184116500283
emp_title,0.017322174441916725,0.017322174441916725
inq_last_6mths,-0.016699011645370566,0.016699011645370566
term_in_months,-0.014726495578131034,0.014726495578131034
mths_since_recent_inq,-0.014345993279909385,0.014345993279909385
emp_length,0.014111175772503284,0.014111175772503284
tot_hi_cred_lim,-0.013689161976112172,0.013689161976112172
pct_tl_nvr_dlq,-0.01294325887571705,0.01294325887571705
avg_cur_bal,-0.012655007422152075,0.012655007422152075
pub_rec <= 0.00,0.011188075292374453,0.011188075292374453
mo_sin_old_il_acct,0.010952648671465701,0.010952648671465701
num_actv_bc_tl,-0.0078085238514037526,0.0078085238514037526
revol_bal,0.007735649796868747,0.007735649796868747
num_op_rev_tl,-0.0069576354397911265,0.0069576354397911265
delinq_2yrs,-0.0068691304664912824,0.0068691304664912824
revol_util,0.006842882853737399,0.006842882853737399
percent_bc_gt_75,0.0065565837025503395,0.0065565837025503395
total_bal_ex_mort,0.006330919041548122,0.006330919041548122
total_acc,-0.006101018451723677,0.006101018451723677
num_rev_accts,0.005820763745297027,0.005820763745297027
mo_sin_rcnt_rev_tl_op,0.005813121479678518,0.005813121479678518
open_acc,0.00580407824900207,0.00580407824900207
num_bc_tl,-0.005708851088057572,0.005708851088057572
verification_status,-0.005521746377629897,0.005521746377629897
total_il_high_credit_limit,0.005389877252426386,0.005389877252426386
total_rev_hi_lim,-0.0048217663661678815,0.0048217663661678815
home_ownership,-0.004667123643469063,0.004667123643469063
annual_inc,0.004364945554397066,0.004364945554397066
mort_acc,-0.003297769933957972,0.003297769933957972
num_il_tl,0.003160790811970748,0.003160790811970748
issue_year,0.0028041968909540567,0.0028041968909540567
collections_12_mths_ex_med,0.0026603490361626235,0.0026603490361626235
title,0.0022644950049021434,0.0022644950049021434
num_accts_ever_120_pd,0.0020299069218169827,0.0020299069218169827
num_bc_sats,-0.0015783648555268675,0.0015783648555268675
initial_list_status,0.0015575220036844794,0.0015575220036844794
bc_util,-0.0014551533566422095,0.0014551533566422095
num_actv_rev_tl,-0.0012793669547414357,0.0012793669547414357
mo_sin_rcnt_tl,-0.001132201098775162,0.001132201098775162
num_tl_op_past_12m,0.0009083688969121376,0.0009083688969121376
bc_open_to_buy,0.0008301678842958459,0.0008301678842958459
pub_rec_bankruptcies,0.0004394982780207846,0.0004394982780207846
earliest_cr_line_year,-0.00026936390799645835,0.00026936390799645835
mths_since_recent_bc,-0.00010491686204574212,0.00010491686204574212
tax_liens,-9.376868608963655e-05,9.376868608963655e-05
