feature,Original,abs_Original,Counterfactual_1,abs_Counterfactual_1,delta,abs_delta
sub_grade,-1.089511155826144,1.089511155826144,0.155398347327663,0.155398347327663,1.244909503153807,1.244909503153807
emp_length,2.0655207978542727,2.0655207978542727,0.8922631721161852,0.8922631721161852,-1.1732576257380876,1.1732576257380876
pct_tl_nvr_dlq,-2.9146141216543864,2.9146141216543864,-3.915849802448931,3.915849802448931,-1.0012356807945446,1.0012356807945446
dti,-0.32410166184180617,0.32410166184180617,0.5776433944657353,0.5776433944657353,0.9017450563075415,0.9017450563075415
initial_list_status,0.0,0.0,0.8657905412097323,0.8657905412097323,0.8657905412097323,0.8657905412097323
issue_year,0.7428132974287391,0.7428132974287391,-0.11268625331501414,0.11268625331501414,-0.8554995507437533,0.8554995507437533
mo_sin_rcnt_tl,-0.3376015562694212,0.3376015562694212,-1.052310183147873,1.052310183147873,-0.7147086268784517,0.7147086268784517
inq_last_6mths,-0.6769391872340971,0.6769391872340971,0.03507675521697429,0.03507675521697429,0.7120159424510714,0.7120159424510714
mo_sin_old_rev_tl_op,-0.41645102246653914,0.41645102246653914,-1.0651427364041552,1.0651427364041552,-0.648691713937616,0.648691713937616
issue_month,0.05163934692581901,0.05163934692581901,-0.5532038114006997,0.5532038114006997,-0.6048431583265188,0.6048431583265188
term_in_months,-0.6723161290735605,0.6723161290735605,-1.2622008571685748,1.2622008571685748,-0.5898847280950142,0.5898847280950142
revol_util,-0.3356100443541924,0.3356100443541924,-0.9165668885511942,0.9165668885511942,-0.5809568441970018,0.5809568441970018
num_il_tl,-0.4733237009197992,0.4733237009197992,-1.013819813313351,1.013819813313351,-0.5404961123935517,0.5404961123935517
purpose,-0.5914405524729072,0.5914405524729072,-1.0902909345737166,1.0902909345737166,-0.49885038210080945,0.49885038210080945
earliest_cr_line_year,0.7147284342429442,0.7147284342429442,0.25655146910407506,0.25655146910407506,-0.45817696513886913,0.45817696513886913
num_tl_op_past_12m,0.988199913140413,0.988199913140413,1.4388008858151382,1.4388008858151382,0.4506009726747252,0.4506009726747252
mths_since_recent_bc,-0.3848426505593284,0.3848426505593284,-0.8319602533769705,0.8319602533769705,-0.4471176028176421,0.4471176028176421
mths_since_recent_inq,0.9361960551756461,0.9361960551756461,1.3694107460666458,1.3694107460666458,0.43321469089099973,0.43321469089099973
mort_acc,-0.27492060257882356,0.27492060257882356,-0.7034755503972756,0.7034755503972756,-0.42855494781845205,0.42855494781845205
delinq_amnt,-0.017950624017914824,0.017950624017914824,0.40184298020413667,0.40184298020413667,0.4197936042220515,0.4197936042220515
open_acc,-0.4756943255129545,0.4756943255129545,-0.0636006492011933,0.0636006492011933,0.4120936763117612,0.4120936763117612
total_bal_ex_mort,-0.810385168374896,0.810385168374896,-0.4021196846755044,0.4021196846755044,0.40826548369939164,0.40826548369939164
annual_inc,-0.3164877809594565,0.3164877809594565,0.09114188938082768,0.09114188938082768,0.4076296703402842,0.4076296703402842
num_op_rev_tl,-0.287943667289279,0.287943667289279,-0.6660464264049075,0.6660464264049075,-0.3781027591156285,0.3781027591156285
pub_rec,-0.3418374612455001,0.3418374612455001,0.022071491352956107,0.022071491352956107,0.3639089525984562,0.3639089525984562
bc_util,1.203166957109284,1.203166957109284,1.5653594203015107,1.5653594203015107,0.36219246319222664,0.36219246319222664
