feature,importance_mean,abs_importance_mean
issue_year,0.07032817039012436,0.07032817039012436
sub_grade,0.046269617422390975,0.046269617422390975
acc_open_past_24mths,0.005002200183010852,0.005002200183010852
purpose,0.0047218173473432936,0.0047218173473432936
home_ownership,0.0038753442445331964,0.0038753442445331964
term_in_months,0.0035127302856624797,0.0035127302856624797
earliest_cr_line_year,0.0032114471450474637,0.0032114471450474637
mo_sin_old_rev_tl_op,0.0030823765914290034,0.0030823765914290034
issue_month,0.0030778988080201854,0.0030778988080201854
tot_hi_cred_lim,0.00234411579117797,0.00234411579117797
total_bc_limit,0.002290178811224486,0.002290178811224486
verification_status,0.0022688527106502487,0.0022688527106502487
title,0.0021345407132301376,0.0021345407132301376
total_il_high_credit_limit,0.0019446167485729139,0.0019446167485729139
dti,0.0018839979791194672,0.0018839979791194672
initial_list_status,0.0018533765354209033,0.0018533765354209033
num_bc_tl,0.001835643175045676,0.001835643175045676
emp_length,0.0016305587834034574,0.0016305587834034574
loan_amnt,0.0016203588037808857,0.0016203588037808857
annual_inc,0.0011852831268519104,0.0011852831268519104
percent_bc_gt_75,0.0008643517402567857,0.0008643517402567857
mths_since_recent_bc,0.000680892605263228,0.000680892605263228
revol_util,0.0006753099514984929,0.0006753099514984929
mo_sin_old_il_acct,0.0006528388382192274,0.0006528388382192274
delinq_2yrs,0.0006368134391995239,0.0006368134391995239
num_il_tl,0.0006295629664277325,0.0006295629664277325
inq_last_6mths,0.0005677633428865514,0.0005677633428865514
num_actv_bc_tl,0.0005424569372954879,0.0005424569372954879
total_rev_hi_lim,0.0005387891691355451,0.0005387891691355451
num_rev_accts,0.0005336777100815482,0.0005336777100815482
emp_title,0.0005015772119915107,0.0005015772119915107
mort_acc,0.000497576357915297,0.000497576357915297
num_tl_op_past_12m,0.00047775702906853733,0.00047775702906853733
mths_since_recent_inq,0.0004716993575121231,0.0004716993575121231
total_bal_ex_mort,0.00046356575307138215,0.00046356575307138215
avg_cur_bal,0.0004591161648841213,0.0004591161648841213
total_acc,0.0004007749958280682,0.0004007749958280682
mo_sin_rcnt_tl,0.0003888751788961864,0.0003888751788961864
collections_12_mths_ex_med,-0.000248991996953829,0.000248991996953829
num_bc_sats,0.0002382510513949887,0.0002382510513949887
tax_liens,0.00021241992796166008,0.00021241992796166008
bc_util,0.0002030175385743682,0.0002030175385743682
mo_sin_rcnt_rev_tl_op,0.00019565954165463585,0.00019565954165463585
pct_tl_nvr_dlq,0.0001715569286362628,0.0001715569286362628
open_acc,0.00014797473249423821,0.00014797473249423821
pub_rec,0.00013991328870390784,0.00013991328870390784
num_op_rev_tl,0.00011583600359592605,0.00011583600359592605
bc_open_to_buy,0.0001140668729473271,0.0001140668729473271
num_accts_ever_120_pd,9.285307537219012e-05,9.285307537219012e-05
pub_rec_bankruptcies,-7.085172314857946e-05,7.085172314857946e-05
num_actv_rev_tl,-6.787449896137333e-05,6.787449896137333e-05
num_tl_30dpd,6.669699006933705e-05,6.669699006933705e-05
delinq_amnt,6.422011158422337e-05,6.422011158422337e-05
earliest_cr_line_month,-6.07721705718989e-05,6.07721705718989e-05
num_tl_90g_dpd_24m,4.429851532563589e-05,4.429851532563589e-05
revol_bal,3.734241977688679e-05,3.734241977688679e-05
