feature,shap_value,abs_shap_value
sub_grade,-0.2494986220788903,0.2494986220788903
title,-0.15605988176609636,0.15605988176609636
issue_year,-0.12303528977332534,0.12303528977332534
purpose,0.09090445233450689,0.09090445233450689
verification_status,-0.07199481592338333,0.07199481592338333
percent_bc_gt_75,0.06523850769636658,0.06523850769636658
earliest_cr_line_year,-0.05668757846670479,0.05668757846670479
total_bal_ex_mort,-0.0547889069327858,0.0547889069327858
issue_month,0.04750198511348404,0.04750198511348404
home_ownership,-0.04680011660704199,0.04680011660704199
loan_amnt,-0.0442794300292139,0.0442794300292139
total_bc_limit,0.042811636359182455,0.042811636359182455
mo_sin_old_rev_tl_op,0.03660801481355146,0.03660801481355146
num_bc_sats,-0.034251837655845795,0.034251837655845795
pct_tl_nvr_dlq,-0.03384395609489826,0.03384395609489826
mths_since_recent_inq,-0.03157054014338572,0.03157054014338572
total_il_high_credit_limit,0.02922412117100365,0.02922412117100365
emp_length,0.027465424324605494,0.027465424324605494
acc_open_past_24mths,0.023955800928742162,0.023955800928742162
dti,-0.023927657801868785,0.023927657801868785
num_op_rev_tl,0.02291449278298109,0.02291449278298109
earliest_cr_line_month,-0.020980964045523375,0.020980964045523375
initial_list_status,0.020058422412538947,0.020058422412538947
total_rev_hi_lim,0.01989086877450985,0.01989086877450985
pub_rec,-0.01571337141278735,0.01571337141278735
bc_util,-0.013626030335390513,0.013626030335390513
delinq_2yrs,-0.01320997414594169,0.01320997414594169
num_actv_bc_tl,0.013174793261141795,0.013174793261141795
term_in_months,-0.009926543971673113,0.009926543971673113
num_actv_rev_tl,-0.009872836737227763,0.009872836737227763
mths_since_recent_bc,0.008490230863447188,0.008490230863447188
total_acc,-0.00840221041225029,0.00840221041225029
num_il_tl,0.00818449751399533,0.00818449751399533
mort_acc,0.008078811466843932,0.008078811466843932
open_acc,-0.007773095833863699,0.007773095833863699
tot_hi_cred_lim,-0.0075628133857619205,0.0075628133857619205
pub_rec_bankruptcies,0.006354333345910664,0.006354333345910664
emp_title,0.006215540432191526,0.006215540432191526
annual_inc,0.006117520448169475,0.006117520448169475
bc_open_to_buy,-0.005991922419383553,0.005991922419383553
mo_sin_old_il_acct,0.004566380018048721,0.004566380018048721
avg_cur_bal,-0.004039808745317768,0.004039808745317768
inq_last_6mths,0.0033588741519609997,0.0033588741519609997
mo_sin_rcnt_tl,0.002788559865214524,0.002788559865214524
num_tl_op_past_12m,-0.0024283829914840387,0.0024283829914840387
collections_12_mths_ex_med,-0.002247747360717361,0.002247747360717361
num_rev_accts,-0.0017265427218713157,0.0017265427218713157
num_tl_90g_dpd_24m,0.0016730502092365959,0.0016730502092365959
num_accts_ever_120_pd,0.0014555845548320622,0.0014555845548320622
revol_util,-0.0008873410236041608,0.0008873410236041608
revol_bal,0.0005522900755804886,0.0005522900755804886
tax_liens,0.0005003630206157159,0.0005003630206157159
num_bc_tl,-0.0004410243350731488,0.0004410243350731488
mo_sin_rcnt_rev_tl_op,0.00027497698791036844,0.00027497698791036844
num_tl_30dpd,-8.309246199378626e-06,8.309246199378626e-06
delinq_amnt,-1.1259703834385982e-19,1.1259703834385982e-19
