feature,contribution,abs_contribution
purpose,0.5807568035047623,0.5807568035047623
sub_grade,-0.07467080271673247,0.07467080271673247
title,-0.04583521070745814,0.04583521070745814
issue_year,-0.04316616603080698,0.04316616603080698
tax_liens,0.024087393047523015,0.024087393047523015
delinq_amnt,-0.02344423590616205,0.02344423590616205
pub_rec <= -0.34,-0.0226550830211952,0.0226550830211952
earliest_cr_line_month,-0.02115265378223774,0.02115265378223774
percent_bc_gt_75,0.017974075013195066,0.017974075013195066
mths_since_recent_inq,-0.017970280368301634,0.017970280368301634
home_ownership,-0.01796455598953837,0.01796455598953837
delinq_2yrs,-0.017008409973853056,0.017008409973853056
issue_month,-0.0169046529472087,0.0169046529472087
total_bal_ex_mort,-0.016423002371042703,0.016423002371042703
total_il_high_credit_limit,0.016361423082520938,0.016361423082520938
total_bc_limit,0.016274291353443198,0.016274291353443198
verification_status,-0.014629192529463864,0.014629192529463864
num_tl_90g_dpd_24m,0.014533136854640104,0.014533136854640104
earliest_cr_line_year,-0.01320160071031668,0.01320160071031668
num_bc_sats,-0.012918891389518423,0.012918891389518423
pub_rec_bankruptcies,0.012646224952108062,0.012646224952108062
collections_12_mths_ex_med,-0.011267897142305491,0.011267897142305491
loan_amnt,-0.010934255900817695,0.010934255900817695
pct_tl_nvr_dlq,-0.010159891073302073,0.010159891073302073
initial_list_status,0.009750224832033458,0.009750224832033458
num_tl_30dpd,-0.008738891970656889,0.008738891970656889
emp_length,-0.008146933648686471,0.008146933648686471
term_in_months,-0.007568574342057143,0.007568574342057143
dti,-0.0074545580539771015,0.0074545580539771015
total_rev_hi_lim,0.005021234507942249,0.005021234507942249
open_acc,-0.005011400807788938,0.005011400807788938
mo_sin_old_rev_tl_op,0.0050099102008187854,0.0050099102008187854
revol_util,0.004974340353534896,0.004974340353534896
num_op_rev_tl,0.0048843506209596925,0.0048843506209596925
acc_open_past_24mths,0.004460821100446177,0.004460821100446177
mo_sin_rcnt_tl,0.0042042683254723935,0.0042042683254723935
tot_hi_cred_lim,-0.004118424650264823,0.004118424650264823
num_actv_bc_tl,0.0040301409907613096,0.0040301409907613096
revol_bal,0.0038454020105099366,0.0038454020105099366
annual_inc,0.0037057140830022363,0.0037057140830022363
num_il_tl,0.0036129141792611385,0.0036129141792611385
num_actv_rev_tl,-0.0034411830650651377,0.0034411830650651377
total_acc,-0.0030623458115136074,0.0030623458115136074
num_accts_ever_120_pd,0.0027467087204443574,0.0027467087204443574
emp_title,0.002547560892211706,0.002547560892211706
mths_since_recent_bc,0.0023262947455643837,0.0023262947455643837
num_tl_op_past_12m,-0.0016998109077563373,0.0016998109077563373
bc_open_to_buy,-0.0016033658371076402,0.0016033658371076402
mo_sin_old_il_acct,0.001405571324559587,0.001405571324559587
num_bc_tl,-0.0013339385206606064,0.0013339385206606064
mort_acc,0.001318812947047827,0.001318812947047827
bc_util,-0.0012630332870172875,0.0012630332870172875
inq_last_6mths,-0.0012295132857627813,0.0012295132857627813
num_rev_accts,-0.00043370924599215254,0.00043370924599215254
avg_cur_bal,0.00027302979103921,0.00027302979103921
mo_sin_rcnt_rev_tl_op,0.0001224092513246678,0.0001224092513246678
