feature,Original,abs_Original,Counterfactual_1,abs_Counterfactual_1,delta,abs_delta
emp_length,2.0655207978542727,2.0655207978542727,11.289637941103726,11.289637941103726,9.224117143249453,9.224117143249453
num_actv_rev_tl,-0.22028771534184102,0.22028771534184102,2.54296376497585,2.54296376497585,2.7632514803176913,2.7632514803176913
acc_open_past_24mths,0.4044249593567454,0.4044249593567454,2.9450556376567194,2.9450556376567194,2.540630678299974,2.540630678299974
sub_grade,-1.089511155826144,1.089511155826144,1.4021093474480584,1.4021093474480584,2.4916205032742025,2.4916205032742025
open_acc,-0.4756943255129545,0.4756943255129545,-2.948695354378911,2.948695354378911,-2.4730010288659563,2.4730010288659563
earliest_cr_line_month,-0.2790334942466624,0.2790334942466624,2.1555979473228613,2.1555979473228613,2.4346314415695236,2.4346314415695236
issue_month,0.05163934692581901,0.05163934692581901,-2.2918936792261464,2.2918936792261464,-2.3435330261519653,2.3435330261519653
num_tl_op_past_12m,0.988199913140413,0.988199913140413,3.3225833382723002,3.3225833382723002,2.3343834251318873,2.3343834251318873
pub_rec,-0.3418374612455001,0.3418374612455001,1.7937208826432816,1.7937208826432816,2.1355583438887815,2.1355583438887815
num_accts_ever_120_pd,0.3683311817463897,0.3683311817463897,-1.5733789712564261,1.5733789712564261,-1.9417101530028158,1.9417101530028158
num_tl_30dpd,-0.05295168827290954,0.05295168827290954,-1.9357833847545551,1.9357833847545551,-1.8828316964816456,1.8828316964816456
mo_sin_rcnt_tl,-0.3376015562694212,0.3376015562694212,-2.0466724694718663,2.0466724694718663,-1.709070913202445,1.709070913202445
purpose,-0.5914405524729072,0.5914405524729072,1.114520327234321,1.114520327234321,1.705960879707228,1.705960879707228
num_actv_bc_tl,-0.745862681817756,0.745862681817756,0.7956874995386424,0.7956874995386424,1.5415501813563983,1.5415501813563983
earliest_cr_line_year,0.7147284342429442,0.7147284342429442,-0.8211162101855879,0.8211162101855879,-1.535844644428532,1.535844644428532
term_in_months,-0.6723161290735605,0.6723161290735605,-2.1385520369405135,2.1385520369405135,-1.466235907866953,1.466235907866953
mort_acc,-0.27492060257882356,0.27492060257882356,-1.6928895401460287,1.6928895401460287,-1.417968937567205,1.417968937567205
total_bc_limit,-0.8040721268195148,0.8040721268195148,0.5720203372806527,0.5720203372806527,1.3760924641001675,1.3760924641001675
total_il_high_credit_limit,-0.2872102593417284,0.2872102593417284,1.087614841684665,1.087614841684665,1.3748251010263934,1.3748251010263934
issue_year,0.7428132974287391,0.7428132974287391,-0.6052259998216409,0.6052259998216409,-1.34803929725038,1.34803929725038
total_acc,-0.438984217926509,0.438984217926509,-1.7868377707503065,1.7868377707503065,-1.3478535528237976,1.3478535528237976
title,-0.7418517428261017,0.7418517428261017,0.5889996611242408,0.5889996611242408,1.3308514039503425,1.3308514039503425
delinq_amnt,-0.017950624017914824,0.017950624017914824,1.2350182910036667,1.2350182910036667,1.2529689150215815,1.2529689150215815
num_il_tl,-0.4733237009197992,0.4733237009197992,-1.694051458646318,1.694051458646318,-1.2207277577265188,1.2207277577265188
dti,-0.32410166184180617,0.32410166184180617,0.8828970820118613,0.8828970820118613,1.2069987438536676,1.2069987438536676
mths_since_recent_bc,-0.3848426505593284,0.3848426505593284,-1.5286119666144722,1.5286119666144722,-1.1437693160551436,1.1437693160551436
total_bal_ex_mort,-0.810385168374896,0.810385168374896,-1.9491631620046004,1.9491631620046004,-1.1387779936297044,1.1387779936297044
home_ownership,-0.17933584723612728,0.17933584723612728,-1.1873036419880314,1.1873036419880314,-1.0079677947519041,1.0079677947519041
emp_title,1.2420658928951773,1.2420658928951773,2.230016189496086,2.230016189496086,0.9879502966009086,0.9879502966009086
initial_list_status,0.0,0.0,0.9384567398133405,0.9384567398133405,0.9384567398133405,0.9384567398133405
bc_util,1.203166957109284,1.203166957109284,0.2679267179694318,0.2679267179694318,-0.9352402391398522,0.9352402391398522
num_op_rev_tl,-0.287943667289279,0.287943667289279,0.6165820610312941,0.6165820610312941,0.9045257283205731,0.9045257283205731
mo_sin_old_il_acct,-0.07957619746332849,0.07957619746332849,-0.9647096676522586,0.9647096676522586,-0.8851334701889302,0.8851334701889302
avg_cur_bal,0.3740223794268489,0.3740223794268489,-0.49024830422342247,0.49024830422342247,-0.8642706836502714,0.8642706836502714
mths_since_recent_inq,0.9361960551756461,0.9361960551756461,1.7823661504479975,1.7823661504479975,0.8461700952723514,0.8461700952723514
tax_liens,-0.11841893577533825,0.11841893577533825,0.6918007415958749,0.6918007415958749,0.8102196773712131,0.8102196773712131
num_rev_accts,-0.14246291240108408,0.14246291240108408,0.5697730951478116,0.5697730951478116,0.7122360075488957,0.7122360075488957
tot_hi_cred_lim,0.2824009323745822,0.2824009323745822,-0.4253582634855354,0.4253582634855354,-0.7077591958601176,0.7077591958601176
mo_sin_old_rev_tl_op,-0.41645102246653914,0.41645102246653914,0.2817766604184357,0.2817766604184357,0.6982276828849748,0.6982276828849748
pub_rec_bankruptcies,-0.35676860051473835,0.35676860051473835,-1.021105231986263,1.021105231986263,-0.6643366314715247,0.6643366314715247
inq_last_6mths,-0.6769391872340971,0.6769391872340971,-1.337924168975065,1.337924168975065,-0.6609849817409679,0.6609849817409679
percent_bc_gt_75,1.5668458878411597,1.5668458878411597,0.9072200102743521,0.9072200102743521,-0.6596258775668077,0.6596258775668077
collections_12_mths_ex_med,-0.1184292519368321,0.1184292519368321,0.5147319359221597,0.5147319359221597,0.6331611878589918,0.6331611878589918
bc_open_to_buy,-0.6546933800243184,0.6546933800243184,-0.027390662976980784,0.027390662976980784,0.6273027170473376,0.6273027170473376
pct_tl_nvr_dlq,-2.9146141216543864,2.9146141216543864,-2.305023166908123,2.305023166908123,0.6095909547462632,0.6095909547462632
num_bc_tl,-0.5980886279591158,0.5980886279591158,-1.1549661729618825,1.1549661729618825,-0.5568775450027668,0.5568775450027668
delinq_2yrs,-0.35788360774131056,0.35788360774131056,0.156611581566117,0.156611581566117,0.5144951893074275,0.5144951893074275
mo_sin_rcnt_rev_tl_op,-0.5039739725350052,0.5039739725350052,-0.9432631919013625,0.9432631919013625,-0.43928921936635734,0.43928921936635734
verification_status,0.047516843542698806,0.047516843542698806,-0.36331166571759244,0.36331166571759244,-0.41082850926029124,0.41082850926029124
annual_inc,-0.3164877809594565,0.3164877809594565,0.046845524979388875,0.046845524979388875,0.3633333059388454,0.3633333059388454
revol_bal,-0.462324714436449,0.462324714436449,-0.22075307108267744,0.22075307108267744,0.24157164335377157,0.24157164335377157
loan_amnt,-1.0057012100194722,1.0057012100194722,-1.2404795640885273,1.2404795640885273,-0.23477835406905512,0.23477835406905512
total_rev_hi_lim,-0.5870990688819907,0.5870990688819907,-0.8009022549593912,0.8009022549593912,-0.21380318607740045,0.21380318607740045
revol_util,-0.3356100443541924,0.3356100443541924,-0.5447592219777584,0.5447592219777584,-0.209149177623566,0.209149177623566
num_tl_90g_dpd_24m,-0.17523772388409306,0.17523772388409306,0.02602103584457907,0.02602103584457907,0.20125875972867213,0.20125875972867213
num_bc_sats,-0.9301219084350075,0.9301219084350075,-0.9690389034696655,0.9690389034696655,-0.03891699503465795,0.03891699503465795
