feature,Original,abs_Original,Counterfactual_1,abs_Counterfactual_1,delta,abs_delta
earliest_cr_line_month,-0.2709491343501749,0.2709491343501749,-0.6772466740894749,0.6772466740894749,-0.4062975397393,0.4062975397393
open_acc,-0.46637432625733954,0.46637432625733954,-0.7631868967681856,0.7631868967681856,-0.2968125705108461,0.2968125705108461
earliest_cr_line_year,0.707395286943507,0.707395286943507,0.4336519617957418,0.4336519617957418,-0.27374332514776517,0.27374332514776517
home_ownership,-0.184547505855869,0.184547505855869,-0.43572054000227867,0.43572054000227867,-0.2511730341464097,0.2511730341464097
num_bc_tl,-0.5951876482652532,0.5951876482652532,-0.35093847834444514,0.35093847834444514,0.24424916992080803,0.24424916992080803
purpose,-0.6169294273742717,0.6169294273742717,-0.8437155158250385,0.8437155158250385,-0.22678608845076675,0.22678608845076675
mort_acc,-0.29210047745013257,0.29210047745013257,-0.4966470107732064,0.4966470107732064,-0.20454653332307382,0.20454653332307382
total_bc_limit,-0.825757105060246,0.825757105060246,-0.6383791950059212,0.6383791950059212,0.1873779100543248,0.1873779100543248
num_tl_op_past_12m,1.0549274914405187,1.0549274914405187,0.8699412799629405,0.8699412799629405,-0.1849862114775782,0.1849862114775782
pub_rec_bankruptcies,-0.3534766345215107,0.3534766345215107,-0.5291803038826473,0.5291803038826473,-0.17570366936113657,0.17570366936113657
tax_liens,-0.1333804968941189,0.1333804968941189,-0.29406965955404424,0.29406965955404424,-0.16068916265992533,0.16068916265992533
issue_year,0.6379173014754507,0.6379173014754507,0.7904227189989138,0.7904227189989138,0.15250541752346314,0.15250541752346314
percent_bc_gt_75,1.6285664225481316,1.6285664225481316,1.7483952770009812,1.7483952770009812,0.11982885445284963,0.11982885445284963
bc_open_to_buy,-0.6823670501963198,0.6823670501963198,-0.5686751523299427,0.5686751523299427,0.11369189786637712,0.11369189786637712
total_il_high_credit_limit,-0.28803064459179173,0.28803064459179173,-0.1765272707078137,0.1765272707078137,0.11150337388397802,0.11150337388397802
num_il_tl,-0.46778419931255716,0.46778419931255716,-0.36053145381591545,0.36053145381591545,0.10725274549664171,0.10725274549664171
num_accts_ever_120_pd,0.37581046165455767,0.37581046165455767,0.4829869453938375,0.4829869453938375,0.10717648373927985,0.10717648373927985
verification_status,-0.0029089893743285966,0.0029089893743285966,0.10371966170149727,0.10371966170149727,0.10662865107582586,0.10662865107582586
num_actv_rev_tl,-0.19031657519945525,0.19031657519945525,-0.09097801734417713,0.09097801734417713,0.09933855785527812,0.09933855785527812
collections_12_mths_ex_med,-0.12086898441314393,0.12086898441314393,-0.02232858795754837,0.02232858795754837,0.09854039645559556,0.09854039645559556
title,-0.7160661330557694,0.7160661330557694,-0.810612492926742,0.810612492926742,-0.0945463598709726,0.0945463598709726
total_acc,-0.4341042798189042,0.4341042798189042,-0.5192035128840213,0.5192035128840213,-0.08509923306511713,0.08509923306511713
revol_util,-0.283988094853332,0.283988094853332,-0.36842369152835924,0.36842369152835924,-0.08443559667502726,0.08443559667502726
num_tl_30dpd,-0.048781290619169075,0.048781290619169075,0.035454293123869614,0.035454293123869614,0.08423558374303869,0.08423558374303869
mo_sin_rcnt_tl,-0.3640238487163657,0.3640238487163657,-0.2853275116887467,0.2853275116887467,0.07869633702761902,0.07869633702761902
bc_util,1.2536849566368116,1.2536849566368116,1.3279674106836175,1.3279674106836175,0.07428245404680589,0.07428245404680589
revol_bal,-0.4760703842263565,0.4760703842263565,-0.40438247791767834,0.40438247791767834,0.07168790630867816,0.07168790630867816
initial_list_status,-1.1102230246251565e-16,1.1102230246251565e-16,-0.07062550750165464,0.07062550750165464,-0.07062550750165453,0.07062550750165453
